"id_all","Headline","codeN","missword","sampleloc"
21497,"竹下政権発足時の右翼対策、自民７人の名　佐川公判で検事調書朗読",NA,NA,1369
1643,"減税協議、３０日決着へ　「規模、財源を撤回」　最終回答で自民党が譲歩固める ",NA,NA,67
24697,"「細川首相」指名持ち越す　議長など自民反発　特別国会冒頭から紛糾",NA,NA,1731
90813,"研究開発の減税、自民が拡充方針",NA,NA,4567
72017,"政府資産「１１２兆円圧縮」　第三者機関を新設　自民チーム、目標示す ",NA,NA,3743
54431,"小泉自民総裁選出　幹事長に山崎氏を起用　政調会長は麻生氏、総務会長は堀内氏 ",NA,NA,3137
33262,"小泉純一郎元郵政相が立候補へ　きょうにも表明　自民総裁選",NA,NA,2030
45262,"商品券は来春支給、高齢者・子どもに２万円　自民・新公明が最終合意",NA,NA,2576
44063,"自民新総裁きょう決定　小渕氏、過半数の勢い　梶山・小泉陣営、懸命の票上積み ",NA,NA,2475
78178,"政府、武藤氏提案で調整　自民も民主と協議　日銀新総裁　",NA,NA,4026
5075,"「ふるさと創生」を推進　整備新幹線は政治折衝へ　自民が予算編成大綱決定 ",NA,NA,265
53749,"「森首相退陣望ましい」　公明・神崎代表と保守・野田幹事長、極秘会談で一致 ",NA,NA,3039
37491,"衆院選終盤情勢　自民、過半数に迫る／読売新聞社２５万人調査 ",NA,NA,2143
14442,"北方領土　主権確認前提なら即時・一括返還こだわらず　小沢・自民幹事長も表明 ",NA,NA,884
14461,"ゴ・ソ連大統領と２５日夕会談　小沢幹事長、モスクワに到着",NA,NA,889
68713,"郵政民営化会社　郵貯・保険に「黄金株」発行検討　敵対買収に対抗／政府・自民 ",NA,NA,3569
6031,"安倍幹事長、リ社から献金も多額　数千万円規模か",NA,NA,324
22003,"自民側から厳しい注文　「３．３％」困難視も　９３年度経済見通し",NA,NA,1444
325,"農産物の対日勧告案は継続審議に　政府・自民党、ガット総会への対応策指示 ",NA,NA,9
74751,"消費・物価「確証あれば即利上げ」　福井・日銀総裁が来月以降見通し ",NA,NA,3889
6578,"宇野新総裁が内定　自民党、あす２日の議員総会で選出　副総裁ポスト復活 ",NA,NA,430
74288,"自民、造反現職１１人の復党を内定　年内に落選組の一部も検討 ",NA,NA,3878
26056,"自民党、政治改革法案採決で造反の１３人を処分　３年―６か月の役職停止 ",NA,NA,1786
43578,"政治改革６法案提出へ　比例議員の党移動制限　自社さ了承 ",NA,NA,2411
78440,"日銀人事　武藤総裁案、民主が否決方針 ",NA,NA,4038
72225,"千葉７区補選　民主、自民競り合う　３割超が態度未定／読売新聞社世論調査 ",NA,NA,3751
39218,"社民党説得を断念　自民、過半数確保には自信　特措法改正",NA,NA,2215
95893,"民主代表に海江田氏　党再生が課題　幹事長は細野氏",NA,NA,4577
98962,"農協改革案　全中と合意　政府・自民　指導・監査権　廃止",NA,NA,4756
56356,"衆院滋賀２区補選、自民・小西理氏が初当選",NA,NA,3205
96522,"ストーカー規制　メールも　法改正案　自公、議員立法で提出へ",NA,NA,4625
30456,"憲法論「真摯に論議」　改憲派と調整し決着　自民「新宣言」",NA,NA,1955
6022,"自民党、衆院定数暫定策を見送りの方針　党内の結束を優先 ",NA,NA,322
54310,"自民党総裁選予備選　党員６５％、団体に所属し派閥色",NA,NA,3102
17658,"ＰＫＯ成立困難　批判回避で９２年予算に国際貢献策盛り込みへ／自民党 ",NA,NA,1114
6572,"幹事長と官房長官は竹下・安倍両派で　自民、新体制の人事構想",NA,NA,427
44675,"長銀処理に資本注入の余地残す　自民、与野党合意に「等」の１字盛り込み ",NA,NA,2529
80130,"ドル供給、倍増６５兆円分　日米欧の金融不安が深刻化　白川日銀総裁、流動性ほぼ枯渇",NA,NA,4129
73654,"外交力の再生カギ　安倍・自民新総裁誕生　政治部長・西村陽一",NA,NA,3854
73082,"福田康夫氏、不出馬の見方　東京大会出席せず　自民総裁選",NA,NA,3793
21510,"皇民党事件調書開示　自民が担当検事ら告訴へ　綿貫幹事長、「名誉著しく棄損」 ",NA,NA,1372
27466,"「景気回復に展望」　日銀支店長会議後に三重野総裁が会見 ",NA,NA,1851
90831,"民主代表に海江田氏　幹事長・細野氏　国対委員長・高木氏",NA,NA,4574
8438,"消費税の見直し要綱決定　１２月の公算も／自民党 ",NA,NA,604
65991,"自民「好き」上昇３９％　朝日新聞社連続世論調査",NA,NA,3503
51500,"［政治はどう変わる］（上）自公連携、増すジレンマ（連載） ",NA,NA,2950
42891,"衆院東京４区補選　自民・森田氏が勝つ　民友連候補に大差 ",NA,NA,2387
64793,"「自民８５点、民主５０点以下」　経団連、政策評価に差",NA,NA,3479
22911,"金丸前自民副総裁を４億円脱税の容疑で逮捕　生原元秘書も　東京地検",NA,NA,1493
35927,"国際ルール違反国対象にマグロ輸入規制も　自民部会が法案要綱 ",NA,NA,2099
50701,"ゼロ金利、年内解除も　「デフレ懸念後退」　速水日銀総裁が示唆 ",NA,NA,2915
7653,"政治資金、最高の１７２２億円（１９％増）　自民、一挙５割増／６３年中央分 ",NA,NA,536
25910,"自社の一部が党議無視　政治改革法案、衆院を通過　自民は再修正要求　　",NA,NA,1779
40518,"自民幹事長に加藤紘一氏留任強まる　小渕恵三氏が支持表明",NA,NA,2257
85954,"日銀きょう追加緩和　訪米の総裁　前倒し帰国 ",NA,NA,4328
82257,"自民と民主、政権かけ前哨３連戦　千葉市長選・静岡県知事選・都議選　",NA,NA,4185
91698,"日銀総裁、消費増税促す　「デフレ脱却と両立する」",NA,NA,4655
87860,"２０１１統一選　民主伸びず　衆院補選　自民大勝　愛知６区　民主不戦敗 ",NA,NA,4364
76913,"自民総裁選「選挙の顔」街頭戦　守る福田氏、あいまい演説　攻める麻生氏、アキバ出陣",NA,NA,3959
5829,"リクルート事件の「けじめ」を改めて強調／安倍・自民党幹事長 ",NA,NA,305
7328,"新内閣、竹・安派から幹事長　官房長官に山下徳夫氏　橋本外相も浮上",NA,NA,523
21713,"宮沢首相、自民党改革に強い意欲　党改革部会も改革案承認",NA,NA,1414
42636,"日銀総裁の年収２０％下げへ ",NA,NA,2363
27131,"中村喜四郎代議士、自民離党へ　あっせん収賄容疑による逮捕許諾で",NA,NA,1831
48305,"自自公連立、批判的が４７％肯定は２７％　朝日新聞社世論調査",NA,NA,2785
26212,"連立与党が国会４５日延長申し入れ　政治改革実現期す　自民反発、欠席戦術も ",NA,NA,1792
75957,"内閣不信任案の会期末提出検討　鳩山・民主幹事長",NA,NA,3908
54239,"自民・野中氏が橋本氏に総裁選出馬を打診　小泉氏は森氏と会談、意欲伝える ",NA,NA,3084
25854,"政治改革、１５日に修正協議　自民は合意へ柔軟姿勢",NA,NA,1773
63319,"参院橋本派は「小泉首相」　自民総裁選、支持決定へ　青木氏に大勢同調 ",NA,NA,3367
86624,"柳田法相「問責可決でも続投」　自民きょう決議案提出　首相ら対応協議 ",NA,NA,4343
28317,"羽田内閣不信任案、予算成立直後に提出　自民党が方針固める",NA,NA,1886
60209,"「竹中案」実施なら税制優遇策同時に　金融緩和、柔軟に対応／速水日銀総裁 ",NA,NA,3291
20920,"１０月３０日に臨時国会召集へ　政府・自民が方針",NA,NA,1311
9380,"択捉墓参、ソ連が受諾　今夏にも実施　自民党の安倍・元幹事長明かす ",NA,NA,660
41764,"土地譲渡益課税、大幅下げ　地価税は凍結へ詰め　自民税調方針",NA,NA,2319
6798,"自民の政治改革推進本部、週内にも初会合　伊東正義氏が本部長受諾",NA,NA,445
37581,"社さ、行革実施に重点　あすから自民と政策協議 ",NA,NA,2153
55387,"小泉旋風、自民党が大勝　構造改革、推進に弾み　参院選",NA,NA,3183
43764,"「受け皿銀行」きょう協議　橋本首相と加藤自民幹事長、具体策詰め ",NA,NA,2422
582,"予算案の閣議決定２８日を確認　政府・自民党",NA,NA,18
18870,"ＰＫＯ法案で連合に協力を要請　金丸副総裁・加藤官房長官・山岸会長が会談 ",NA,NA,1203
80851,"「３年後」景気回復強調　自公両党が合意　消費増税めぐる中期プログラム",NA,NA,4147
13618,"多国籍軍への追加支援策　決定は２４日に持ち越しへ／政府・自民首脳会議 ",NA,NA,852
61428,"苦難５年、最後は「明るく」　速水日銀総裁、国際舞台にサヨナラ",NA,NA,3310
19881,"「政界再編は近い」　小沢元幹事長が見解／読売新聞社座談会 ",NA,NA,1242
79916,"「名乗り上げれば露出が増える」　自民党総裁選",NA,NA,4091
12265,"税金党の野末陳平氏ら３人、自民くら替えへ　渡辺派入りか",NA,NA,744
27558,"河野総裁の説得不調　渡辺美智雄氏、自民離党の可能性示す",NA,NA,1859
46505,"中村正三郎法相辞任、きょう詰め　政府自民、国会への影響見極め",NA,NA,2659
51284,"梶山静六氏が死去　元官房長官・元自民幹事長",NA,NA,2934
84129,"「小沢幹事長辞職を」６７％　鳩山内閣支持、続落４２％　朝日新聞社世論調査",NA,NA,4268
34664,"「３党首協議」毎週開催で合意　梶山官房長官と加藤自民幹事長が会談 ",NA,NA,2078
22913,"金丸前副総裁の逮捕　宮沢首相「誠に遺憾」と談話 ",NA,NA,1495
18290,"政治資金　３月メドに改革案　自民改革本部が方針決定　連座制強化も対象 ",NA,NA,1156
44803,"金融再生修正法案　自民、２日に国会提出 ",NA,NA,2546
86487,"小沢氏、政倫審応ぜず　民主・岡田幹事長と会談",NA,NA,4339
17152,"中曽根・竹下氏が最高顧問に　新３役、派閥離れず　自民党",NA,NA,1086
44090,"「蔵相は最強の人に」　加藤・宮沢氏ら念頭　小渕・新自民党総裁語る",NA,NA,2487
21570,"佐川急便事件　国会「喚問」の可能性を金丸氏と協議か／梶山自民国対委員長 ",NA,NA,1387
41136,"大蔵省改革　「金融・財政」分離へ自民行革本部が調整　中間報告の修正図る ",NA,NA,2290
45600,"所得税２０％、住民税１５％　定率減税自民税調が方針",NA,NA,2608
21967,"所得税減税は見送り　来年度税制改正大綱、自民が決定",NA,NA,1441
6162,"自民党、連休明けに新総裁選出　内閣総辞職は予算成立後に／竹下・安倍会談 ",NA,NA,351
7340,"自民党総裁選での海部総裁の得票は２７９票 ",NA,NA,527
38386,"ロシア船重油流出事故、５億ドルの保険範囲内で補償の意向／タンカー会社総裁 ",NA,NA,2201
74898,"愛知知事選は自公・神田氏辛勝　北九州市長選は民主・北橋氏",NA,NA,3892
52415,"新顔・元職は名簿登載「党員２万人」条件を維持　自民決定",NA,NA,2972
12893,"自民が基本要綱案　合同総会で了承　衆院選改革",NA,NA,799
90677,"衆院比例区の投票先は、自民２３％・民主１６％　朝日新聞社世論調査",NA,NA,4533
91587,"日銀総裁「経済に前向きの循環」　２年半ぶり「景気回復」明記",NA,NA,4641
45268,"臨時国会を２７日に召集　政府・自民方針",NA,NA,2580
47256,"現行選挙制でも閣外協力ある　冬柴・公明幹事長が表明 ",NA,NA,2700
47742,"「自自公連立」小渕首相が表明　公明に入閣要請へ ",NA,NA,2734
56862,"発泡酒、約２０円増税へ　たばこは１～２円　自民税調固める",NA,NA,3220
