"id_all","Headline","codeN","cabinetmatch","ldpmatch","politicsmatch"
38677,"政府、北朝鮮に食糧援助へ　国際的枠組みで　二国間は当面見送り",NA,7864,NA,NA
47284,"ＡＰＥＣ蔵相会議　債券市場の育成を強調　共同声明を採択し閉幕 ",NA,9173,NA,NA
39196,"県収用委が申請却下しても「使用可能」盛る　特措法改正で政府が方針",NA,7939,NA,7747
407,"一戸建てを年収の５倍で　政府、政策面の努力表明／参院特別委 ",NA,84,NA,49
56933,"診療報酬引き下げ　「本体」１．３％、薬価と合わせ２．７％／政府・与党決定 ",NA,10644,NA,10621
9730,"衆院予算委、当面空転　「補正」一括処理で与野党対立 ",NA,NA,NA,1860
35175,"住専と民主主義　その場しのぎを断て　中馬清福・論説主幹（座標）",NA,NA,NA,7032
27990,"「２６日までに結論」で合意　細川氏元秘書喚問で衆院予算委理事会",NA,NA,NA,5532
51700,"中尾元建設相、さらに２０００万円授受容疑　特捜部、慎重に捜査",NA,9806,NA,NA
7128,"８９年実質国民総生産の成長見通しを０．８％下方修正　米政府",NA,1386,NA,NA
80300,"新潟知事選　泉田氏が再選 ",NA,NA,NA,13680
83072,"鳩山内閣きょう内定　直嶋氏は経産相が有力 ",NA,14363,NA,NA
14374,"駐独イラク大使館を一時占拠　クルド人グループがフセイン政権の退陣を要求 ",NA,3043,NA,NA
63730,"陸自、バスラ北部派遣へ　イラク支援で政府調整　「治安は比較的安定」 ",NA,11700,NA,NA
20424,"［地球を読む］新秩序作り　先進国に重い責任　ゲンシャー・前独外相（寄稿） ",NA,4384,NA,NA
21167,"ゴルバチョフ氏の政治活動をエリツィン・ロシア大統領が拘束",NA,NA,NA,3730
20870,"佐川急便事件　金丸元副総裁に出頭要請　５億円献金受領は本人と認定／東京地検 ",NA,NA,1309,NA
50230,"民主の鳩山代表“捨て身”戦術　初の正式開催　党首討論",NA,NA,NA,9574
9486,"最高裁８裁判官の国民審査も衆院選と同時に ",NA,NA,NA,1781
30215,"民社党の大内前委員長が新進党不参加を正式表明 ",NA,NA,NA,6027
29129,"香川知事に平井城一氏３選 ",NA,NA,NA,5752
85252,"社民、首相問責も賛成へ ",NA,14903,NA,NA
37917,"６分野で大胆提言　首相に実行迫る　経済審委の構造改革報告書案",NA,7742,NA,NA
83125,"［地球を読む］鳩山政権に望む　リチャード・アーミテージ（寄稿） ",NA,14387,NA,NA
28183,"北朝鮮制裁問題　「憲法枠内で最大の措置」　羽田首相が緊急協議で指示 ",NA,6091,NA,NA
59617,"新司法試験、受験回数を制限へ　大学院修了後、５年以内に３回まで",NA,NA,NA,10982
90948,"全学年３５人学級を断念　文科省、自民意向受け",NA,NA,4592,NA
24841,"臨時国会召集来月中旬までに　佐藤自治相語る ",NA,5254,NA,4783
24976,"自民党が２票制合意へ　定数は小選挙区３００、比例１７１／衆院並立制 ",NA,NA,1743,4824
6786,"自民党島根県連のパーティーに竹下派の５閣僚が出席 ",NA,1297,443,1127
87830,"節電目標１５％に緩和　政府調整　企業・家庭一律に ",NA,15383,NA,NA
234,"臨時国会きょう２７日召集 ",NA,NA,NA,31
24579,"［５５年体制崩壊・政治はどう変わる］（７）再編の行方見えず（連載） ",NA,NA,NA,4685
47765,"国旗・国歌法案、衆院を今月下旬に通過へ　審議日程、自自民が合意",NA,NA,2736,9158
34830,"フランスが６回目の核実験　政府、臨時大使呼び抗議 ",NA,7278,NA,NA
21291,"新中央委員１８９人選出　「ポスト・トウ」へ若返り　中国党大会が閉幕 ",NA,NA,NA,3768
7598,"海部首相、きょう９月３日の日程＝現地時間 ",NA,1496,NA,NA
98611,"首相「大きな一歩」　日中首脳会談",NA,17011,NA,NA
31197,"村山内閣　「支持」横ばい４１％　震災対策に４１％が不満／読売新聞社世論調査 ",NA,6696,NA,NA
77499,"国会再延長の公算　新テロ法案の会期内成立は困難／自民 ",NA,NA,4003,13359
14492,"県議選　無投票が２割、約６００人　競争率最低の１・４１倍／読売新聞社調査 ",NA,NA,NA,2544
70314,"テロ特措法、延長「１年」の方針　政府・与党",NA,12572,NA,12386
5349,"訪米の竹下首相が帰国 ",NA,994,NA,NA
96974,"汚染水「コントロール下」　衆院委で東電社長",NA,NA,NA,15626
24191,"「羽田新党」連立協議の方針　２３日の結成後に社公民・連合などと",NA,NA,NA,4482
45969,"［連立新時代］（上）保守再編が加速　政治手法など波乱要因（連載） ",NA,NA,NA,8852
44707,"民主党と平和・改革が政府・自民に「長銀」で統一見解求める　法案化の条件に ",NA,8809,2531,NA
73943,"「北、新たな核実験の計画ない」韓国報道　「未確認」麻生外相 ",NA,13025,NA,NA
43250,"社民党の与党離脱、今国会中に　土井党首と伊藤幹事長が確認 ",NA,NA,2405,8387
23117,"ロシア支援で１３日にも閣僚会議　政府、各国と調整 ",NA,4854,NA,NA
73562,"自民・安倍氏人事構想　幹事長、中川秀氏が有力　甘利、山本有氏入閣か ",NA,NA,3839,NA
4899,"竹下改造内閣の顔ぶれ（６３年１２月２７日任命・認証式） ",NA,891,NA,NA
67778,"「遺骨」めぐみさんと別人　政府発表　ＤＮＡ鑑定で判明、「調査虚偽」北に抗議 ",NA,12257,NA,NA
46148,"月内にも衆院通過　一九九九年度予算案",NA,NA,NA,8894
41889,"１０兆円新型国債　「実現に全力」　橋本首相が表明 ",NA,8343,NA,NA
13072,"海部内閣、支持４９％に低下　安定感に陰り　朝日新聞社世論調査",NA,2688,NA,NA
73489,"救援リスト作成、自治体の４分の１　災害弱者の把握進まず／読売新聞社調査 ",NA,NA,NA,12700
66114,"出資法違反容疑で稲垣元長官ら逮捕 ",NA,12038,NA,11835
60494,"公共投資１．５兆円　国債追加５兆円　補正予算案、政府・与党合意",NA,11232,NA,11073
84412,"夫婦別姓、千葉法相が提示　民法改正案の今国会成立に意欲",NA,14749,NA,14316
63023,"私学に財務諸表公開義務　運営透明化図る　文科省が法改正へ",NA,NA,NA,11441
72650,"村上ファンドを捜査　証取法抵触の疑い、取引記録など分析　東京地検",NA,NA,NA,12647
8926,"平成２年度予算政府案決定　好景気反映、税収１３．７％増　防衛費とＯＤＡ増 ",NA,1744,NA,NA
23432,"副操縦士が操縦　航空法違反の疑い　花巻空港のＪＡＳ機炎上",NA,NA,NA,4234
11011,"外国人単純労働者の雇用　研修の形で容認　自民党特別委が合意 ",NA,NA,716,2084
31524,"２信組問題参院証人喚問　堀江頭取「長銀、経営に参画せず」　高橋証言再び否定 ",NA,NA,NA,6313
7099,"比例区候補も消費税・政治改革が主張テーマ　朝日新聞社アンケート",NA,NA,NA,1207
96197,"成年後見　選挙権喪失は違憲　東京地裁　公選法規定に初判断",NA,NA,NA,15437
3999,"蔵相秘書ら喚問問題、きょうにも再協議　自民調整、結論出ず",NA,725,208,NA
23782,"政府派遣の選挙監視員がタケオ到着　カンボジアＰＫＯ",NA,4981,NA,4303
61453,"米朝間で早期対話を　盧大統領、パウエル米国務長官に表明 ",NA,11363,NA,NA
60143,"「都の西北」法律事務所　早大が来年開業　弁護士の下、学生が実習 ",NA,NA,NA,11029
17379,"ＰＫＯ特別委　「指図」で政府見解へ　指揮権問題を明確化 ",NA,3723,NA,NA
89030,"被災自治体、復興特区に　１．９兆円の交付金も　法案判明",NA,NA,NA,14885
8361,"西独のコール首相、西ベルリン入り　東独の新情勢で予定変更",NA,1629,NA,NA
54075,"森首相、実習船衝突事故のホノルル到着 ",NA,10162,NA,NA
31695,"［危機　衰退する政党政治］（４）審判の総括　役割、真剣に見直す時（連載） ",NA,NA,NA,6354
49503,"自自、連立維持で合意　衆院比例選の定数削減処理は通常国会冒頭に ",NA,NA,NA,9438
89574,"勝俣・東電会長、６月退任へ　外部から後任、政府方針",NA,15854,NA,NA
96811,"離婚時に養育費合意５６％　改正法１年　浸透不足",NA,NA,NA,15606
1259,"首相、税制見直し否定せず　「国会決議」で強調　衆院予算委",NA,225,NA,154
80815,"野党が強行可決　雇用法案、参院委で",NA,NA,NA,13745
52727,"ギリシャ観光バス乗っ取り　発生から７時間、車内は２５度超す　河野外相が会見 ",NA,9926,NA,NA
64387,"自衛隊にきょう準備命令　小泉首相、実施要項承認　イラク派遣",NA,11822,NA,NA
58942,"郵政４法案「修正せずに成立を」　小泉首相、片山総務相に指示",NA,10993,NA,NA
76311,"年金、７党首論戦　安倍首相「打てる手打った」、小沢氏「制度を抜本改革」　参院選",NA,13326,NA,13140
72444,"中央青山、法定監査２か月停止処分　７月から、対象２３００社／金融庁 ",NA,NA,NA,12625
98345,"安倍改造内閣　「実行実現」へ重厚布陣　経済・地方創生に全力",NA,16921,NA,NA
31878,"村山首相きょう訪中　過去の歴史に対する反省に立ち「未来志向」確認へ ",NA,6785,NA,NA
128,"臨時国会、２７日召集を確認／政府・自民党 ",NA,29,3,16
52844,"山崎拓氏も内閣不信任案賛成　自民主流派「可決なら解散」",NA,9948,2999,NA
75248,"［統一選の焦点］（３）政策不在　頼りない政党（連載） ",NA,NA,NA,12960
24947,"日の丸・君が代「尊重」と細川首相／参院代表質問 ",NA,5275,NA,4817
